vendor_guid,object_type,title,description,display_name,calculation_method,calculation_int,parent_guids,workflow_state,mastery_points,ratings
WAET-09-12-2018,group,Educational Technology,,,,,,,,
WAET-09-12-2018-EL-1b,outcome,ET.1.EL.a - Network & Customize,1.b. Students build networks and customize their learning environments in ways that support the learning process.,,,,,,,
WAET-09-12-2018-EL-1c,outcome,ET.1.EL.c - Seeks Feedback,1.c. Students use technology to seek feedback that informs and improves their practice and to demonstrate their learning in a variety of ways.,,,,,,,
WAET-09-12-2018-EL-1d,outcome,ET.1.EL.d - Tech Concepts,"1.d. Students understand the fundamental concepts of technology operations, demonstrate the ability to choose, use and troubleshoot current technologies and are able to transfer their knowledge to explore emerging technologies.",,,,,,,
WAET-09-12-2018-DC-2b,outcome,ET.2.DC.a - Safe & Ethical,"2.b. Students engage in positive, safe, legal and ethical behavior when using technology, including social interactions online or when using networked devices.",,,,,,,
WAET-09-12-2018-KC-3a,outcome,ET.3.KC.a - Plans Research,3.a. Students plan and employ effective research strategies to locate information and other resources for their intellectual or creative pursuits.,,,,,,,
WAET-09-12-2018-KC-3b,outcome,ET.3.KC.b - Evaluates Sources,"3.b. Students evaluate the accuracy, perspective, credibility and relevance of information, media, data or other resources.",,,,,,,
WAET-09-12-2018-ID-4a,outcome,ET.4.ID.a - Design Process,"4.a. Students know and use a deliberate design process for generating ideas, testing theories, creating innovative artifacts or solving authentic problems.",,,,,,,
WAET-09-12-2018-ID-4c,outcome,ET.4.ID.c - Prototypes,"4.c. Students develop, test and refine prototypes as part of a cyclical design process.",,,,,,,
WAET-09-12-2018-CT-5a,outcome,ET.5.CT.a - Problem Definition,"5.a. Students formulate problem definitions suited for technology-assisted methods such as data analysis, abstract models and algorithmic thinking in exploring and finding solutions.",,,,,,,
WAET-09-12-2018-CT-5c,outcome,ET.5.CT.c - Breakdown Problems,"5.c. Students break problems into component parts, extract key information, and develop descriptive models to understand complex systems or facilitate problem-solving.",,,,,,,
WAET-09-12-2018-CT-5d,outcome,ET.5.CT.d - Algorithmic Thinking,5.d. Students understand how automation works and use algorithmic thinking to develop a sequence of steps to create and test automated solutions.,,,,,,,
WAET-09-12-2018-CC-6b,outcome,ET.6.CC.b - Create Artifacts,6.b. Students create original works or responsibly repurpose or remix digital resources into new creations.,,,,,,,
WAET-09-12-2018-GC-7b,outcome,ET.7.GC.b - Colloaborate Widely,"7.b. Students use collaborative technologies to work with others, including peers, experts or community members, to examine issues and problems from multiple viewpoints.",,,,,,,
